drugbank_id	category	mesh_id
DB00001	Antithrombins		
DB00001	Fibrinolytic Agents		
DB00002	Antineoplastic Agents		
DB00003	Enzymes		
DB00004	Antineoplastic Agents		
DB00005	Immunosuppressive Agents		
DB00006	Antithrombins		
DB00007	Antineoplastic Agents, Hormonal		
DB00007	Fertility Agents, Female		
DB00007	Estrogen Antagonists		
DB00008	Immunosuppressive Agents		
DB00009	Thrombolytic Agents		
DB00010	Hormone Replacement Agents		
DB00011	Antiviral Agents		
DB00011	Immunologic Factors		
DB00011	Immunosuppressive Agents		
DB00012	Hematinics		
DB00012	Anti-anemic Agents		
DB00013	Thrombolytic Agents		
DB00015	Fibrinolytic Agents		
DB00015	Thrombolytic Agents		
DB00016	Hematinics		
DB00016	Anti-anemic Agents		
DB00017	Bone Density Conservation Agents		
DB00017	Antihypercalcemic Agents		
DB00017	Anti-Osteporotic Agents		
DB00018	Immunosuppressive Agents		
DB00019	Immunosuppressive Agents		
DB00019	Antineutropenic Agents		
DB00020	Immunosuppressive Agents		
DB00021	Diagnostic Agents		
DB00022	Immunosuppressive Agents		
DB00023	Antineoplastic Agents		
DB00024	Diagnostic Agents		
DB00025	Coagulants		
DB00025	Thrombotic Agents		
DB00026	Antirheumatic Agents		
DB00026	Immunosuppressive Agents		
DB00027	Anti-Bacterial Agents		
DB00027	Anti-Infective Agents		
DB00027	Antibiotics		
DB00027	Antibiotics, Topical		
DB00028	Immunologic Factors		
DB00028	Immunosuppressive Agents		
DB00028	Anti-Infective Agents		
DB00029	Fibrinolytic Agents		
DB00029	Thrombolytic Agents		
DB00030	Antidiabetic Agents		
DB00031	Fibrinolytic Agents		
DB00031	Thrombolytic Agents		
DB00032	Fertility Agents, Female		
DB00032	Fertility Agents		
DB00033	Immunosuppressive Agents		
DB00035	Antidiuretic Agents		
DB00035	Hemostatics		
DB00035	Renal Agents		
DB00036	Coagulants		
DB00036	Thrombotic Agents		
DB00038	Antineoplastic Agents		
DB00038	Coagulants		
DB00038	Thrombotic Agents		
DB00039	Anti-Mucositis Agents		
DB00040	Hypoglycemic Agents		
DB00041	Antineoplastic Agents		
DB00041	Anti-HIV Agents		
DB00042	Antidystonic Agents		
DB00043	Anti-Allergic Agents		
DB00043	Anti-Asthmatic Agents		
DB00043	Immunosuppressive Agents		
DB00044	Fertility Agents		
DB00045	Vaccines		
DB00046	Hypoglycemic Agents		
DB00046	Antidiabetic Agents		
DB00047	Hypoglycemic Agents		
DB00047	Antidiabetic Agents		
DB00049	Gout Suppressants		
DB00049	Antihyperuricemic Agents		
DB00050	Hormone Antagonists		
DB00050	Fertility Agents		
DB00051	Antirheumatic Agents		
DB00051	Anti-Inflammatory Agents		
DB00051	Immunosuppressive Agents		
DB00052	Hormone Replacement Agents		
DB00053	Enzyme Replacement Agents		
DB00054	Anticoagulants		
DB00054	Platelet Aggregation Inhibitors		
DB00055	Antisepsis		
DB00056	Antineoplastic Agents		
DB00056	Immunotoxins		
DB00057	Diagnostic Agents		
DB00058	Serine Proteinase Inhibitors		
DB00058	Trypsin Inhibitors		
DB00058	Enzyme Replacement Agents		
DB00059	Antineoplastic Agents		
DB00060	Antineoplastic Agents		
DB00060	Antiviral Agents		
DB00060	Immunologic Factors		
DB00060	Immunosuppressive Agents		
DB00061	Enzyme Replacement Agents		
DB00062	Serum substitutes		
DB00063	Platelet Aggregation Inhibitors		
DB00064	Diagnostic Agents		
DB00065	Antirheumatic Agents		
DB00065	Anti-Inflammatory Agents, Non-Steroidal		
DB00065	Dermatologic Agents		
DB00065	Gastrointestinal Agents		
DB00065	Immunosuppressive Agents		
DB00066	Fertility Agents		
DB00067	Antidiuretic Agents		
DB00068	Adjuvants, Immunologic		
DB00068	Immunosuppressive Agents		
DB00069	Antiviral Agents		
DB00069	Immunosuppressive Agents		
DB00070	Adjuvants, Anesthesia		
DB00070	Permeabilizing Agents		
DB00071	Hypoglycemic Agents		
DB00072	Antineoplastic Agents		
DB00073	Antineoplastic Agents		
DB00073	Immunologic Factors		
DB00073	Antirheumatic Agents		
DB00074	Immunosuppressive Agents		
DB00075	Immunologic Factors		
DB00075	Immunosuppressive Agents		
DB00076	Antidotes		
DB00082	Hormone Replacement Agents		
DB00083	Neuromuscular Blocking Agents		
DB00083	Anti-Wrinkle Agents		
DB00083	Antidystonic Agents		
DB00085	Gastrointestinal Agents		
DB00085	Enzyme Replacement Agents		
DB00086	Fibrinolytic Agents		
DB00086	Thrombolytic Agents		
DB00088	Enzyme Replacement Agents		
DB00089	Indicators and Reagents		
DB00089	Diagnostic Agents		
DB00090	Enzyme Replacement Agents		
DB00091	Antirheumatic Agents		
DB00091	Dermatologic Agents		
DB00091	Immunosuppressive Agents		
DB00091	Antifungal Agents		
DB00091	Enzyme Inhibitors		
DB00092	Dermatologic Agents		
DB00092	Immunosuppressive Agents		
DB00093	Vasoconstrictor Agents		
DB00093	Renal Agents		
DB00094	Fertility Agents		
DB00095	Immunosuppressive Agents		
DB00096	Serum substitutes		
DB00097	Fertility Agents		
DB00097	Gonadotropins		
DB00098	Immunologic Factors		
DB00098	Immunosuppressive Agents		
DB00099	Immunosuppressive Agents		
DB00099	Antineutropenic Agents		
DB00099	Hematopoietic Agents		
DB00100	Coagulants		
DB00100	Thrombotic Agents		
DB00102	Angiogenesis Inducing Agents		
DB00103	Enzyme Replacement Agents		
DB00104	Antineoplastic Agents, Hormonal		
DB00104	Gastrointestinal Agents		
DB00104	Hormone Replacement Agents		
DB00105	Immunosuppressive Agents		
DB00106	Anti-Testosterone Agents		
DB00107	Oxytocics		
DB00107	Anti-tocolytic Agents		
DB00107	Labor Induction Agents		
DB00108	Immunosuppressive Agents		
DB00109	HIV Fusion Inhibitors		
DB00110	Antiviral Agents		
DB00111	Immunosuppressive Agents		
DB00112	Angiogenesis Inhibitors		
DB00113	Diagnostic Agents		
DB00114	Vitamin B Complex		
DB00114	Dietary Supplements		
DB00114	Micronutrients		
DB00114	Supplements		
DB00115	Vitamin B Complex		
DB00115	Vitamins		
DB00115	Anti-anemic Agents		
DB00116	Dietary Supplements		
DB00116	Micronutrients		
DB00116	Supplements		
DB00117	Dietary Supplements		
DB00117	Micronutrients		
DB00117	Conditionally Essential Amino Acids		
DB00117	Supplements		
DB00118	Dietary Supplements		
DB00118	Micronutrients		
DB00118	Supplements		
DB00119	Dietary Supplements		
DB00119	Micronutrients		
DB00119	Supplements		
DB00120	Dietary Supplements		
DB00120	Micronutrients		
DB00120	Amino Acids, Essential		
DB00120	Supplements		
DB00121	Vitamin B Complex		
DB00121	Dietary Supplements		
DB00121	Micronutrients		
DB00121	Supplements		
DB00122	Lipotropic Agents		
DB00122	Nootropic Agents		
DB00122	Dietary Supplements		
DB00122	Micronutrients		
DB00122	Supplements		
DB00123	Dietary Supplements		
DB00123	Micronutrients		
DB00123	Amino Acids, Essential		
DB00123	Supplements		
DB00125	Dietary Supplements		
DB00125	Micronutrients		
DB00125	Conditionally Essential Amino Acids		
DB00125	Supplements		
DB00126	Antioxidants		
DB00126	Vitamins		
DB00126	Ascorbic Acid		
DB00127	Dietary Supplements		
DB00127	Micronutrients		
DB00127	Supplements		
DB00128	Dietary Supplements		
DB00128	Micronutrients		
DB00128	Supplements		
DB00128	Non-Essential Amino Acids		
DB00129	Dietary Supplements		
DB00129	Micronutrients		
DB00129	Supplements		
DB00129	Non-Essential Amino Acids		
DB00130	Dietary Supplements		
DB00130	Micronutrients		
DB00130	Supplements		
DB00130	Non-Essential Amino Acids		
DB00131	Dietary Supplements		
DB00131	Micronutrients		
DB00131	Supplements		
DB00132	Dietary Supplements		
DB00132	Micronutrients		
DB00132	Supplements		
DB00133	Dietary Supplements		
DB00133	Micronutrients		
DB00133	Supplements		
DB00133	Non-Essential Amino Acids		
DB00134	Dietary Supplements		
DB00134	Micronutrients		
DB00134	Amino Acids, Essential		
DB00134	Supplements		
DB00135	Dietary Supplements		
DB00135	Micronutrients		
DB00135	Supplements		
DB00135	Non-Essential Amino Acids		
DB00136	Bone Density Conservation Agents		
DB00136	Vitamins		
DB00136	Calcium Channel Agonists		
DB00136	Antithyroid Agents		
DB00136	Vitamin D		
DB00136	Antihypocalcemic Agents		
DB00137	Dietary Supplements		
DB00137	Micronutrients		
DB00137	Supplements		
DB00138	Dietary Supplements		
DB00138	Micronutrients		
DB00138	Supplements		
DB00138	Non-Essential Amino Acids		
DB00139	Dietary Supplements		
DB00139	Micronutrients		
DB00139	Supplements		
DB00140	Vitamin B Complex		
DB00140	Photosensitizing Agents		
DB00141	Dietary Supplements		
DB00141	Micronutrients		
DB00141	Supplements		
DB00142	Dietary Supplements		
DB00142	Micronutrients		
DB00142	Supplements		
DB00142	Non-Essential Amino Acids		
DB00143	Dietary Supplements		
DB00143	Micronutrients		
DB00143	Supplements		
DB00144	Dietary Supplements		
DB00144	Micronutrients		
DB00144	Supplements		
DB00145	Glycine Agents		
DB00145	Dietary Supplements		
DB00145	Micronutrients		
DB00145	Supplements		
DB00145	Non-Essential Amino Acids		
DB00146	Bone Density Conservation Agents		
DB00146	Vitamins		
DB00146	Antithyroid Agents		
DB00146	Vitamin D		
DB00146	Antihypocalcemic Agents		
DB00147	Vitamin B Complex		
DB00147	Dietary Supplements		
DB00147	Micronutrients		
DB00147	Supplements		
DB00148	Dietary Supplements		
DB00148	Micronutrients		
DB00148	Supplements		
DB00149	Dietary Supplements		
DB00149	Micronutrients		
DB00149	Amino Acids, Essential		
DB00149	Supplements		
DB00150	Antidepressive Agents, Second-Generation		
DB00150	Dietary Supplements		
DB00150	Micronutrients		
DB00150	Amino Acids, Essential		
DB00150	Supplements		
DB00151	Dietary Supplements		
DB00151	Nutritional Support		
DB00151	Supplements		
DB00152	Vitamin B Complex		
DB00152	Vitamins		
DB00153	Bone Density Conservation Agents		
DB00153	Vitamins		
DB00153	Antithyroid Agents		
DB00153	Vitamin D		
DB00153	Antihypocalcemic Agents		
DB00154	Dietary Supplements		
DB00154	Micronutrients		
DB00154	Supplements		
DB00155	Dietary Supplements		
DB00155	Micronutrients		
DB00155	Supplements		
DB00155	Non-Essential Amino Acids		
DB00156	Dietary Supplements		
DB00156	Micronutrients		
DB00156	Amino Acids, Essential		
DB00156	Supplements		
DB00157	Dietary Supplements		
DB00157	Micronutrients		
DB00157	Supplements		
DB00158	Hematinics		
DB00158	Vitamin B Complex		
DB00158	Dietary Supplements		
DB00158	Micronutrients		
DB00158	Supplements		
DB00159	Dietary Supplements		
DB00159	Micronutrients		
DB00159	Supplements		
DB00160	Dietary Supplements		
DB00160	Micronutrients		
DB00160	Supplements		
DB00160	Non-Essential Amino Acids		
DB00161	Dietary Supplements		
DB00161	Micronutrients		
DB00161	Amino Acids, Essential		
DB00162	Vitamins		
DB00162	Vitamin A		
DB00162	Anti-Acne Preparations		
DB00163	Antioxidants		
DB00163	Vitamins		
DB00163	Dietary Supplements		
DB00163	Micronutrients		
DB00163	Supplements		
DB00165	Vitamin B Complex		
DB00165	Vitamins		
DB00166	Vitamin B Complex		
DB00166	Antioxidants		
DB00166	Dietary Supplements		
DB00166	Micronutrients		
DB00166	Supplements		
DB00167	Dietary Supplements		
DB00167	Micronutrients		
DB00167	Amino Acids, Essential		
DB00167	Supplements		
DB00168	Sweetening Agents		
DB00168	Dietary Supplements		
DB00168	Micronutrients		
DB00168	Supplements		
DB00169	Bone Density Conservation Agents		
DB00169	Vitamins		
DB00169	Antithyroid Agents		
DB00169	Vitamin D		
DB00169	Antihypocalcemic Agents		
DB00170	Vitamins		
DB00170	Antifibrinolytic Agents		
DB00170	Dietary Supplements		
DB00170	Micronutrients		
DB00170	Supplements		
DB00171	Dietary Supplements		
DB00171	Micronutrients		
DB00171	Supplements		
DB00172	Dietary Supplements		
DB00172	Micronutrients		
DB00172	Supplements		
DB00172	Non-Essential Amino Acids		
DB00173	Dietary Supplements		
DB00173	Micronutrients		
DB00173	Supplements		
DB00174	Dietary Supplements		
DB00174	Micronutrients		
DB00174	Supplements		
DB00174	Non-Essential Amino Acids		
DB00175	Hydroxymethylglutaryl-CoA Reductase Inhibitors		
DB00176	Antidepressive Agents, Second-Generation		
DB00176	Anti-Anxiety Agents		
DB00176	Serotonin Uptake Inhibitors		
DB00177	Angiotensin Receptor Antagonists		
DB00178	Angiotensin-Converting Enzyme Inhibitors		
DB00178	Antihypertensive Agents		
DB00179	Antineoplastic Agents		
DB00179	Antioxidants		
DB00179	Cyclooxygenase Inhibitors		
DB00179	Lipoxygenase Inhibitors		
DB00181	Neuromuscular Agents		
DB00181	Muscle Relaxants, Skeletal		
DB00182	Adrenergic Agents		
DB00182	Adrenergic Uptake Inhibitors		
DB00182	Central Nervous System Stimulants		
DB00182	Dopamine Agents		
DB00182	Dopamine Uptake Inhibitors		
DB00182	Sympathomimetics		
DB00182	Amphetamines		
DB00183	Diagnostic Agents		
DB00184	Ganglionic Stimulants		
DB00184	Nicotinic Agonists		
DB00184	Appetite Depressants		
DB00184	Autonomic Agents		
DB00186	Hypnotics and Sedatives		
DB00186	Benzodiazepines		
DB00189	Hypnotics and Sedatives		
DB00190	Enzyme Inhibitors		
DB00190	Dopamine Agents		
DB00190	Antiparkinson Agents		
DB00190	Antidyskinetics		
DB00191	Adrenergic Agents		
DB00191	Central Nervous System Stimulants		
DB00191	Sympathomimetics		
DB00191	Appetite Depressants		
DB00191	Stimulants		
DB00192	Anti-Arrhythmia Agents		
DB00192	Sodium Channel Blockers		
DB00194	Antiviral Agents		
DB00194	Antimetabolites		
DB00195	Antihypertensive Agents		
DB00195	Adrenergic beta-1 Receptor Antagonists		
DB00195	Sympatholytics		
DB00195	EENT Preparations		
DB00196	Antifungal Agents		
DB00198	Antiviral Agents		
DB00198	Enzyme Inhibitors		
DB00199	Gastrointestinal Agents		
DB00199	Anti-Bacterial Agents		
DB00199	Protein Synthesis Inhibitors		
DB00199	Macrolides		
DB00200	Hematinics		
DB00200	Vitamin B Complex		
DB00200	Nutritional Support		
DB00200	Anti-anemic Agents		
DB00201	Central Nervous System Stimulants		
DB00201	Appetite Depressants		
DB00201	Phosphodiesterase Inhibitors		
DB00201	Purinergic P1 Receptor Antagonists		
DB00202	Neuromuscular Depolarizing Agents		
DB00202	Muscle Relaxants, Skeletal		
DB00204	Anti-Arrhythmia Agents		
DB00204	Potassium Channel Blockers		
DB00205	Antimalarials		
DB00205	Antiprotozoal Agents		
DB00205	Folic Acid Antagonists		
DB00206	Antihypertensive Agents		
DB00206	Adrenergic Uptake Inhibitors		
DB00206	Antipsychotic Agents		
DB00206	Adrenergic Antagonists		
DB00207	Anti-Bacterial Agents		
DB00207	Macrolides		
DB00210	Anti-Inflammatory Agents, Non-Steroidal		
DB00210	Dermatologic Agents		
DB00211	Vasoconstrictor Agents		
DB00211	Sympathomimetics		
DB00211	Adrenergic alpha-1 Receptor Agonists		
DB00213	Anti-Ulcer Agents		
DB00213	Proton Pump Inhibitors		
DB00214	Antihypertensive Agents		
DB00214	Diuretics		
DB00214	Sodium Potassium Chloride Symporter Inhibitors		
DB00215	Antidepressive Agents, Second-Generation		
DB00215	Serotonin Uptake Inhibitors		
DB00215	Antidepressive Agents		
DB00216	Serotonin Antagonists		
DB00216	Serotonin Receptor Agonists		
DB00216	Anti-migraine Agents		
DB00217	Antihypertensive Agents		
DB00217	Adrenergic Agents		
DB00217	Sympatholytics		
DB00218	Quinolones		
DB00221	Adrenergic beta-2 Receptor Agonists		
DB00221	Bronchodilator Agents		
DB00222	Hypoglycemic Agents		
DB00222	Immunosuppressive Agents		
DB00222	Anti-Arrhythmia Agents		
DB00222	Antidiabetic Agents		
DB00223	Anti-Inflammatory Agents		
DB00223	Glucocorticoids		
DB00226	Antihypertensive Agents		
DB00227	Anticholesteremic Agents		
DB00227	Hydroxymethylglutaryl-CoA Reductase Inhibitors		
DB00228	Anesthetics, Inhalation		
DB00228	Anesthetics		
DB00229	Anti-Bacterial Agents		
DB00229	Cephalosporins		
DB00230	Analgesics		
DB00230	Anticonvulsants		
DB00231	Benzodiazepines		
DB00232	Sodium Chloride Symporter Inhibitors		
DB00233	Antitubercular Agents		
DB00235	Platelet Aggregation Inhibitors		
DB00235	Cardiotonic Agents		
DB00235	Phosphodiesterase 3 Inhibitors		
DB00235	Vasodilator Agents		
DB00237	Hypnotics and Sedatives		
DB00237	Barbiturates		
DB00238	Anti-HIV Agents		
DB00238	Reverse Transcriptase Inhibitors		
DB00239	Antifungal Agents		
DB00240	Antipruritics		
DB00240	Corticosteroids		
DB00242	Antineoplastic Agents		
DB00242	Immunosuppressive Agents		
DB00244	Anti-Inflammatory Agents, Non-Steroidal		
DB00245	Dopamine Uptake Inhibitors		
DB00245	Antiparkinson Agents		
DB00245	Muscarinic Antagonists		
DB00245	Parasympatholytics		
DB00245	Antidyskinetics		
DB00246	Antipsychotic Agents		
DB00247	Vasoconstrictor Agents		
DB00247	Serotonin Antagonists		
DB00248	Antineoplastic Agents		
DB00248	Antiparkinson Agents		
DB00248	Dopamine Agonists		
DB00249	Antiviral Agents		
DB00249	Nucleic Acid Synthesis Inhibitors		
DB00250	Antimalarials		
DB00250	Folic Acid Antagonists		
DB00250	Anti-Infective Agents		
DB00250	Leprostatic Agents		
DB00250	Antimycobacterials		
DB00251	Antifungal Agents		
DB00252	Anticonvulsants		
DB00252	Voltage-Gated Sodium Channel Blockers		
DB00253	Anti-Inflammatory Agents		
DB00254	Anti-Bacterial Agents		
DB00254	Antimalarials		
DB00254	Tetracyclines		
DB00255	Carcinogens		
DB00255	Estrogens, Non-Steroidal		
DB00256	Anti-Bacterial Agents		
DB00256	Antiprotozoal Agents		
DB00256	Tetracyclines		
DB00257	Antifungal Agents		
DB00257	14-alpha Demethylase Inhibitors		
DB00257	Anti-Infective Agents, Local		
DB00258	Chelating Agents		
DB00258	Antihyperphosphatemic Agents		
DB00259	Anti-Bacterial Agents		
DB00259	Sulfonamides		
DB00259	Homeopathic Agents		
DB00260	Antimetabolites		
DB00260	Anti-Infective Agents, Urinary		
DB00260	Antibiotics, Antitubercular		
DB00260	Antibiotics		
DB00261	Antithrombins		
DB00262	Antineoplastic Agents, Alkylating		
DB00263	Anti-Infective Agents		
DB00263	Sulfonamides		
DB00264	Antihypertensive Agents		
DB00264	Adrenergic beta-1 Receptor Antagonists		
DB00264	Sympatholytics		
DB00264	Anti-Arrhythmia Agents		
DB00265	Pesticides		
DB00265	Antiscabies Agents		
DB00266	Anticoagulants		
DB00266	Enzyme Inhibitors		
DB00266	Uncoupling Agents		
DB00267	Anti-Bacterial Agents		
DB00267	Cephalosporins		
DB00268	Antiparkinson Agents		
DB00268	Dopamine Agonists		
DB00268	Antidyskinetics		
DB00269	Antineoplastic Agents, Hormonal		
DB00269	Estrogens, Non-Steroidal		
DB00270	Antihypertensive Agents		
DB00270	Vasodilator Agents		
DB00270	Calcium Channel Blockers		
DB00271	Contrast Media		
DB00272	Gastrointestinal Agents		
DB00272	Histamine Agonists		
DB00272	Diagnostic Agents		
DB00273	Anticonvulsants		
DB00273	Anti-Obesity Agents		
DB00273	Neuroprotective Agents		
DB00274	Anti-Bacterial Agents		
DB00274	Cephalosporins		
DB00275	Angiotensin II Type 1 Receptor Blockers		
DB00276	Antineoplastic Agents		
DB00276	Intercalating Agents		
DB00277	Phosphodiesterase Inhibitors		
DB00277	Purinergic P1 Receptor Antagonists		
DB00277	Bronchodilator Agents		
DB00277	Vasodilator Agents		
DB00277	Muscle Relaxants, Respiratory		
DB00279	Hormone Replacement Agents		
DB00280	Anti-Arrhythmia Agents		
DB00280	Voltage-Gated Sodium Channel Blockers		
DB00281	Anti-Arrhythmia Agents		
DB00281	Voltage-Gated Sodium Channel Blockers		
DB00281	Anesthetics, Local		
DB00282	Bone Density Conservation Agents		
DB00282	Bisphosphonates		
DB00283	Anti-Allergic Agents		
DB00283	Antipruritics		
DB00283	Histamine H1 Antagonists		
DB00285	Antidepressive Agents		
DB00286	Estrogens		
DB00287	Prostaglandins, Synthetic		
DB00287	Anti-glaucoma Agents		
DB00287	Ophthalmics		
DB00288	Glucocorticoids		
DB00288	Corticosteroids		
DB00289	Adrenergic Uptake Inhibitors		
DB00289	Antidepressive Agents		
DB00290	Antibiotics, Antineoplastic		
DB00291	Antineoplastic Agents, Alkylating		
DB00292	Hypnotics and Sedatives		
DB00292	Anesthetics, Intravenous		
DB00294	Contraceptive Agents		
DB00295	Analgesics, Opioid		
DB00295	Narcotics		
DB00296	Anesthetics, Local		
