drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB00002	SMP00474	Cetuximab Action Pathway	
DB00006	SMP00277	Bivalirudin Action Pathway	
DB00009	SMP00280	Alteplase Action Pathway	
DB00013	SMP00284	Urokinase Action Pathway	
DB00015	SMP00285	Reteplase Action Pathway	
DB00029	SMP00281	Anistreplase Action Pathway	
DB00031	SMP00283	Tenecteplase Action Pathway	
DB00054	SMP00265	Abciximab Action Pathway	
DB00063	SMP00266	Eptifibatide Action Pathway	
DB00072	SMP00476	Trastuzumab Action Pathway	
DB00086	SMP00282	Streptokinase Action Pathway	
DB00112	SMP00420	Bevacizumab Action Pathway	
DB00114	SMP00514	Gamma-cystathionase deficiency (CTH)	
DB00114	SMP00455	Homocysteine Degradation	
DB00114	SMP00515	Homocystinuria, cystathionine beta-synthase deficiency	
DB00114	SMP00021	Taurine and Hypotaurine Metabolism	
DB00114	SMP00037	Lysine Degradation	
DB00114	SMP00719	2-aminoadipic 2-oxoadipic aciduria	
DB00114	SMP00452	Threonine and 2-Oxobutanoate Degradation	
DB00114	SMP00527	Hyperlysinemia I, Familial	
DB00114	SMP00127	Glucose-Alanine Cycle	
DB00114	SMP00186	Glutaric Aciduria Type I	
DB00114	SMP00528	Hyperlysinemia II or Saccharopinuria	
DB00114	SMP00571	Pyridoxine dependency with seizures	
DB00114	SMP00129	Malate-Aspartate Shuttle	
DB00114	SMP00239	Saccharopinuria/Hyperlysinemia II	
DB00114	SMP00012	Catecholamine Biosynthesis	
DB00114	SMP00348	Globoid Cell Leukodystrophy	
DB00114	SMP00497	Tyrosine hydroxylase deficiency	
DB00114	SMP00553	Glycogenosis, Type III. Cori disease, Debrancher glycogenosis	
DB00114	SMP00555	Glycogenosis, Type VI. Hers disease	
DB00114	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB00114	SMP00503	Hypophosphatasia	
DB00114	SMP00525	Fabry disease	
DB00114	SMP00556	Mucopolysaccharidosis VI. Sly syndrome	
DB00114	SMP00029	Selenoamino Acid Metabolism	
DB00114	SMP00170	Aromatic L-Aminoacid Decarboxylase Deficiency	
DB00114	SMP00526	Krabbe disease	
DB00114	SMP00557	Sucrase-isomaltase deficiency	
DB00114	SMP00017	Vitamin B6 Metabolism	
DB00114	SMP00552	Glycogen synthetase deficiency	
DB00114	SMP00554	Glycogenosis, Type IV. Amylopectinosis, Anderson disease	
DB00114	SMP00465	Carnitine Synthesis	
DB00114	SMP00034	Sphingolipid Metabolism	
DB00114	SMP00058	Starch and Sucrose Metabolism	
DB00114	SMP00349	Gaucher Disease	
DB00114	SMP00053	Folate Metabolism	
DB00114	SMP00044	Histidine Metabolism	
DB00114	SMP00236	Propionic Acidemia	
DB00114	SMP00140	3-Methylglutaconic Aciduria Type III	
DB00114	SMP00191	Histidinemia	
DB00114	SMP00016	Propanoate Metabolism	
DB00114	SMP00346	Porphyria Variegata (PV)	
DB00114	SMP00198	Malonic Aciduria	
DB00114	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB00114	SMP00502	Malonyl-coa decarboxylase deficiency	
DB00114	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB00114	SMP00524	Isovaleric acidemia	
DB00114	SMP00722	Cystinosis, ocular nonnephropathic	
DB00114	SMP00055	Alanine Metabolism	
DB00114	SMP00013	Cysteine Metabolism	
DB00114	SMP00445	Spermidine and Spermine Biosynthesis	
DB00114	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00114	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00114	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00114	SMP00313	Lactic Acidemia	
DB00114	SMP00345	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	
DB00114	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB00114	SMP00522	3-hydroxyisobutyric aciduria	
DB00114	SMP00352	Primary Hyperoxaluria Type I	
DB00114	SMP00199	Maple Syrup Urine Disease	
DB00114	SMP00200	Methylmalonic Aciduria	
DB00114	SMP00024	Porphyrin Metabolism	
DB00114	SMP00342	Hereditary Coproporphyria (HCP)	
DB00114	SMP00492	Ureidopropionase deficiency	
DB00114	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB00114	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00114	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00114	SMP00493	Carnosinuria, carnosinemia	
DB00114	SMP00350	Pyruvate Carboxylase Deficiency	
DB00114	SMP00173	Beta-Ketothiolase Deficiency	
DB00114	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00114	SMP00238	Isovaleric Aciduria	
DB00114	SMP00351	GABA-Transaminase Deficiency	
DB00114	SMP00724	Folate malabsorption, hereditary	
DB00114	SMP00007	Beta-Alanine Metabolism	
DB00114	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00114	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00114	SMP00344	Acute Intermittent Porphyria	
DB00114	SMP00432	Methotrexate Action Pathway	
DB00114	SMP00175	Canavan Disease	
DB00114	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB00114	SMP00192	Hypoacetylaspartia	
DB00114	SMP00206	Phenylketonuria	
DB00114	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB00114	SMP00357	Argininemia	
DB00114	SMP00067	Aspartate Metabolism	
DB00114	SMP00003	Argininosuccinic Aciduria	
DB00114	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00114	SMP00001	Citrullinemia Type I	
DB00114	SMP00009	Ammonia Recycling	
DB00114	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB00114	SMP00059	Urea Cycle	
DB00114	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00114	SMP00361	Hyperprolinemia Type I	
DB00114	SMP00341	Hypermethioninemia	
DB00114	SMP00063	Tryptophan Metabolism	
DB00114	SMP00218	Tyrosinemia Type I	
DB00114	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00114	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00114	SMP00033	Methionine Metabolism	
DB00114	SMP00208	Prolinemia Type II	
DB00114	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00114	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00114	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00114	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00114	SMP00207	Prolidase Deficiency (PD)	
DB00114	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00114	SMP00222	Glycine N-methyltransferase Deficiency	
DB00114	SMP00494	Tyrosinemia, transient, of the newborn	
DB00114	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00114	SMP00385	Homocarnosinosis	
DB00114	SMP00169	Alkaptonuria	
DB00114	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00114	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00114	SMP00020	Arginine and Proline Metabolism	
DB00114	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00114	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00114	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00114	SMP00006	Tyrosine Metabolism	
DB00114	SMP00072	Glutamate Metabolism	
DB00114	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00114	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00114	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00114	SMP00360	Hyperprolinemia Type II	
DB00114	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00114	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00114	SMP00190	Hawkinsinuria	
DB00114	SMP00244	Sarcosinemia	
DB00114	SMP00485	Hyperglycinemia, non-ketotic	
DB00114	SMP00004	Glycine and Serine Metabolism	
DB00114	SMP00429	Disulfiram Action Pathway	
DB00114	SMP00223	Non Ketotic Hyperglycinemia	
DB00114	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00114	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00114	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00114	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00116	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00116	SMP00123	Betaine Metabolism	
DB00116	SMP00053	Folate Metabolism	
DB00116	SMP00044	Histidine Metabolism	
DB00116	SMP00191	Histidinemia	
DB00116	SMP00724	Folate malabsorption, hereditary	
DB00116	SMP00432	Methotrexate Action Pathway	
DB00116	SMP00009	Ammonia Recycling	
DB00116	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00116	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00116	SMP00033	Methionine Metabolism	
DB00116	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00116	SMP00222	Glycine N-methyltransferase Deficiency	
DB00116	SMP00341	Hypermethioninemia	
DB00116	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00116	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00116	SMP00144	Adenosine Deaminase Deficiency	
DB00116	SMP00168	AICA-Ribosiduria	
