drugbank_id	interacting_drugbank_id	name	description
DB00005	DB01281	Abatacept	
DB00005	DB00026	Anakinra	
DB00005	DB08879	Belimumab	
DB00005	DB06168	Canakinumab	
DB00005	DB08904	Certolizumab pegol	
DB00005	DB00531	Cyclophosphamide	
DB00005	DB06643	Denosumab	
DB00005	DB00065	Infliximab	
DB00005	DB01097	Leflunomide	
DB00005	DB00108	Natalizumab	
DB00005	DB00337	Pimecrolimus	
DB00005	DB06372	Rilonacept	
DB00005	DB01656	Roflumilast	
DB00005	DB06688	Sipuleucel-T	
DB00005	DB06273	Tocilizumab	
DB00005	DB08895	Tofacitinib	
DB00005	DB00072	Trastuzumab	
DB00005	DB09033	Vedolizumab	
DB00006	DB00054	Abciximab	
DB00006	DB01418	Acenocoumarol	
DB00006	DB00945	Acetylsalicylic acid	
DB00006	DB00009	Alteplase	
DB00006	DB00029	Anistreplase	
DB00006	DB06605	Apixaban	
DB00006	DB04272	Citric Acid	
DB00006	DB06695	Dabigatran etexilate	
DB00006	DB06779	Dalteparin	
DB00006	DB01254	Dasatinib	
DB00006	DB01609	Deferasirox	
DB00006	DB03619	Deoxycholic Acid	
DB00006	DB00304	Desogestrel	
DB00006	DB00266	Dicoumarol	
DB00006	DB00378	Dydrogesterone	
DB00006	DB00974	Edetic Acid	
DB00006	DB01225	Enoxaparin	
DB00006	DB08794	Ethyl biscoumacetate	
DB00006	DB00569	Fondaparinux sodium	
DB00006	DB06730	Gestodene	
DB00006	DB01109	Heparin	
DB00006	DB00078	Ibritumomab	
DB00006	DB08935	Obinutuzumab	
DB00006	DB00498	Phenindione	
DB00006	DB00946	Phenprocoumon	
DB00006	DB00396	Progesterone	
DB00006	DB00015	Reteplase	
DB00006	DB01207	Ridogrel	
DB00006	DB06228	Rivaroxaban	
DB00006	DB01398	Salicylate-sodium	
DB00006	DB00086	Streptokinase	
DB00006	DB06206	Sugammadex	
DB00006	DB06271	Sulodexide	
DB00006	DB00031	Tenecteplase	
DB00006	DB00932	Tipranavir	
DB00006	DB00374	Treprostinil	
DB00006	DB00013	Urokinase	
DB00006	DB00163	Vitamin E	
DB00006	DB09030	Vorapaxar	
DB00006	DB00682	Warfarin	
DB00007	DB00414	Acetohexamide	
DB00007	DB06203	Alogliptin	
DB00007	DB08907	Canagliflozin	
DB00007	DB00672	Chlorpropamide	
DB00007	DB01120	Gliclazide	
DB00007	DB00222	Glimepiride	
DB00007	DB01251	Gliquidone	
DB00007	DB01016	Glyburide	
DB00007	DB01306	Insulin Aspart	
DB00007	DB01307	Insulin Detemir	
DB00007	DB00047	Insulin Glargine	
DB00007	DB01309	Insulin Glulisine	
DB00007	DB00046	Insulin Lispro	
DB00007	DB00030	Insulin Regular	
DB00007	DB08914	Insulin, isophane	
DB00007	DB08882	Linagliptin	
DB00007	DB00331	Metformin	
DB00007	DB00834	Mifepristone	
DB00007	DB00912	Repaglinide	
DB00007	DB06335	Saxagliptin	
DB00007	DB01124	Tolbutamide	
DB00007	DB04876	Vildagliptin	
DB00008	DB00041	Aldesleukin	
DB00008	DB00363	Clozapine	
DB00008	DB00333	Methadone	
DB00008	DB00811	Ribavirin	
DB00008	DB01265	Telbivudine	
DB00008	DB00495	Zidovudine	
DB00009	DB00054	Abciximab	
DB00009	DB01418	Acenocoumarol	
DB00009	DB00945	Acetylsalicylic acid	
DB00009	DB00233	Aminosalicylic Acid	
DB00009	DB00261	Anagrelide	
DB00009	DB06605	Apixaban	
DB00009	DB06692	Aprotinin	
DB00009	DB00278	Argatroban	
DB00009	DB01294	Bismuth Subsalicylate	
DB00009	DB00006	Bivalirudin	
DB00009	DB01166	Cilostazol	
DB00009	DB00215	Citalopram	
DB00009	DB04272	Citric Acid	
DB00009	DB00758	Clopidogrel	
DB00009	DB06695	Dabigatran etexilate	
DB00009	DB06779	Dalteparin	
DB00009	DB06754	Danaparoid	
DB00009	DB06700	Desvenlafaxine	
DB00009	DB00266	Dicoumarol	
DB00009	DB00861	Diflunisal	
DB00009	DB00975	Dipyridamole	
DB00009	DB00476	Duloxetine	
DB00009	DB00974	Edetic Acid	
DB00009	DB01225	Enoxaparin	
DB00009	DB01240	Epoprostenol	
DB00009	DB00063	Eptifibatide	
DB00009	DB01175	Escitalopram	
DB00009	DB08794	Ethyl biscoumacetate	
DB00009	DB00749	Etodolac	
DB00009	DB00573	Fenoprofen	
DB00009	DB08976	Floctafenine	
DB00009	DB00472	Fluoxetine	
DB00009	DB00176	Fluvoxamine	
DB00009	DB00569	Fondaparinux sodium	
DB00009	DB01109	Heparin	
DB00009	DB01050	Ibuprofen	
DB00009	DB01088	Iloprost	
DB00009	DB00328	Indomethacin	
DB00009	DB01009	Ketoprofen	
DB00009	DB00465	Ketorolac	
DB00009	DB08918	Levomilnacipran	
DB00009	DB01397	Magnesium salicylate	
DB00009	DB00784	Mefenamic acid	
DB00009	DB00814	Meloxicam	
DB00009	DB04896	Milnacipran	
DB00009	DB00461	Nabumetone	
DB00009	DB08813	Nadroparin	
DB00009	DB00788	Naproxen	
DB00009	DB00727	Nitroglycerin	
DB00009	DB00991	Oxaprozin	
DB00009	DB00715	Paroxetine	
DB00009	DB00498	Phenindione	
DB00009	DB00946	Phenprocoumon	
DB00009	DB00554	Piroxicam	
DB00009	DB06209	Prasugrel	
DB00009	DB06228	Rivaroxaban	
DB00009	DB01398	Salicylate-sodium	
DB00009	DB01399	Salsalate	
DB00009	DB01104	Sertraline	
DB00009	DB00605	Sulindac	
DB00009	DB06271	Sulodexide	
DB00009	DB01600	Tiaprofenic acid	
DB00009	DB08816	Ticagrelor	
DB00009	DB00208	Ticlopidine	
DB00009	DB06822	Tinzaparin	
DB00009	DB00775	Tirofiban	
DB00009	DB00500	Tolmetin	
DB00009	DB00374	Treprostinil	
DB00009	DB00285	Venlafaxine	
DB00009	DB06684	Vilazodone	
DB00009	DB09030	Vorapaxar	
DB00009	DB00682	Warfarin	
DB00012	DB00480	Lenalidomide	
DB00012	DB01041	Thalidomide	
DB00013	DB00054	Abciximab	
DB00013	DB01418	Acenocoumarol	
DB00013	DB00945	Acetylsalicylic acid	
DB00013	DB00233	Aminosalicylic Acid	
DB00013	DB00261	Anagrelide	
DB00013	DB06605	Apixaban	
DB00013	DB06692	Aprotinin	
DB00013	DB00278	Argatroban	
DB00013	DB01294	Bismuth Subsalicylate	
DB00013	DB00006	Bivalirudin	
DB00013	DB01166	Cilostazol	
DB00013	DB00215	Citalopram	
DB00013	DB00758	Clopidogrel	
DB00013	DB06695	Dabigatran etexilate	
DB00013	DB06779	Dalteparin	
DB00013	DB06754	Danaparoid	
DB00013	DB06700	Desvenlafaxine	
DB00013	DB00861	Diflunisal	
DB00013	DB00975	Dipyridamole	
DB00013	DB00476	Duloxetine	
DB00013	DB01225	Enoxaparin	
DB00013	DB01240	Epoprostenol	
DB00013	DB00063	Eptifibatide	
DB00013	DB01175	Escitalopram	
DB00013	DB00749	Etodolac	
DB00013	DB00573	Fenoprofen	
DB00013	DB08976	Floctafenine	
DB00013	DB00472	Fluoxetine	
DB00013	DB00176	Fluvoxamine	
DB00013	DB00569	Fondaparinux sodium	
DB00013	DB01109	Heparin	
DB00013	DB01050	Ibuprofen	
DB00013	DB01088	Iloprost	
DB00013	DB00328	Indomethacin	
DB00013	DB01009	Ketoprofen	
DB00013	DB00465	Ketorolac	
DB00013	DB08918	Levomilnacipran	
DB00013	DB01397	Magnesium salicylate	
DB00013	DB00784	Mefenamic acid	
DB00013	DB00814	Meloxicam	
DB00013	DB04896	Milnacipran	
DB00013	DB00461	Nabumetone	
DB00013	DB08813	Nadroparin	
DB00013	DB00788	Naproxen	
DB00013	DB00991	Oxaprozin	
DB00013	DB00715	Paroxetine	
DB00013	DB00554	Piroxicam	
DB00013	DB06209	Prasugrel	
DB00013	DB06228	Rivaroxaban	
DB00013	DB01399	Salsalate	
DB00013	DB01104	Sertraline	
DB00013	DB00605	Sulindac	
DB00013	DB01600	Tiaprofenic acid	
DB00013	DB08816	Ticagrelor	
DB00013	DB00208	Ticlopidine	
DB00013	DB06822	Tinzaparin	
DB00013	DB00775	Tirofiban	
DB00013	DB00500	Tolmetin	
DB00013	DB00374	Treprostinil	
DB00013	DB00285	Venlafaxine	
DB00013	DB06684	Vilazodone	
DB00013	DB09030	Vorapaxar	
DB00014	DB00414	Acetohexamide	
