drugbank_id	target_id	target_name	target_organism	swissprot_id	gene_name	cellular_location
DB00001	BE0000048	Prothrombin	Human	P00734	F2	Secreted protein; extracellular space
DB00002	BE0000767	Epidermal growth factor receptor	Human	P00533	EGFR	Cell membrane; single-pass type I membrane protein. Isoform 2:Secreted protein
DB00002	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00002	BE0002093	Complement C1r subcomponent	Human	P00736	C1R	Cytoplasmic
DB00002	BE0002094	Complement C1q subcomponent subunit A	Human	P02745	C1QA	Secreted protein
DB00002	BE0002095	Complement C1q subcomponent subunit B	Human	P02746	C1QB	Secreted protein
DB00002	BE0002096	Complement C1q subcomponent subunit C	Human	P02747	C1QC	Secreted protein
DB00002	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00002	BE0001529	Complement C1s subcomponent	Human	P09871	C1S	Cytoplasmic
DB00002	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00002	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00002	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
DB00002	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00004	BE0000658	Interleukin-2 receptor subunit alpha	Human	P01589	IL2RA	Membrane; single-pass type I membrane protein
DB00004	BE0000651	Interleukin-2 receptor subunit beta	Human	P14784	IL2RB	Membrane; single-pass type I membrane protein
DB00004	BE0002102	Cytokine receptor common subunit gamma	Human	P31785	IL2RG	Membrane
DB00005	BE0000704	Tumor necrosis factor	Human	P01375	TNF	Cell membrane; single-pass type II membrane protein. Processed form:Secreted protein. Also exists as
DB00005	BE0000949	Tumor necrosis factor receptor superfamily member 1B	Human	P20333	TNFRSF1B	Isoform 1:Cell membrane; single-pass type I membrane protein. Isoform 2:Secreted protein. TBP-II:Sec
DB00005	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00005	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00005	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00005	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
